Products,Exporter name,Quantity (Lakhs),Location,State,Latitude,Longitude,Gmap link,Distance(in km),,
COCONUT POWDER,SUPER COCO COMPANY,1.56698,Pollachi,Tamil Nadu,10.65700216,77.04204014,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala+682003/10.65705233783798,+77.04216735952255/@11.0336443,76.770164,9.42z/data=!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.0421674!2d10.6570523!3e0?entry=ttu",184,,
FOOD STUFFS,SURABI IMPORTS&EXPORTS,7.82375,Perintalmanna,Kerala,10.97709352,76.2214419,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala+682003/10.977101391373099,+76.22147585812748/@10.4533571,75.6568765,9z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.2214759!2d10.9771014!3e0?entry=ttu",153,,
ACTIVATED CARBON,SURACSH FILTERS,6.80015,Vytilla,Kerala,9.975873158,76.31928498,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala+682003/9.975854666383642,+76.31926083743397/@9.953865,76.2729805,14z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.3192608!2d9.9758547!3e0?entry=ttu",13.2,,
COTTON GOODS,SUVIDHEE APPARELS,1.49322,Thiruvarur,Tamil Nadu,11.10543788,77.3403357,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala+682003/11.10543788158586,+77.34033569795083/@10.5561497,76.1424841,9z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.3403357!2d11.1054379!3e0?entry=ttu",237,,
TEA,SWISS SINGAPORE INDIA P.LTD.,6.95182,Ghandhidham,Gujarat,23.06153186,70.13133854,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala+682003/23.061531864355885,+70.13133853929277/@16.5633203,68.9476918,6z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d70.1313385!2d23.0615319!3e0?entry=ttu",2565,,
TOMATO SAUCE,SYMEGA FOOD INGREDIENTS,14.63539,"kolencheri,kochi",Kerala,9.994826585,76.43516686,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala+682003/9.994826584881896,+76.43516685706093/@9.9646572,76.3104785,13z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.4351669!2d9.9948266!3e0?entry=ttu",25.6,,
REFRACTORY MATERIALS,SYNDICATE EXPORTS P. LTD.,3.92782,Coimbatore,Tamil Nadu,11.02101417,76.94370152,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala+682003/11.021014169363534,+76.94370152318936/@10.4753974,75.9247353,9z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.9437015!2d11.0210142!3e0?entry=ttu",192,,
COTTON GOODS,SYNERGY LIFESTYELS P.LTD.,1.40501,Mochakottam playam,Tamil Nadu,10.96112862,78.01895018,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala+682003/10.961135804411963,+78.0189646356494/@10.4789225,76.477438,9z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d78.0189646!2d10.9611358!3e0?entry=ttu",305,,
TURMERIC POWDER,SYNTHITE INDUSTRIES LTD.,95.69727,Kadayirupu,Kerala,10.00101653,76.45746174,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala+682003/10.001016531499653,+76.45746174446273/@9.9178412,75.738298,9.77z/data=!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.4574617!2d10.0010165!3e0?entry=ttu",28.1,,
TEA PROCESSING MACHINE,T & I GLOBAL P. LTD.,1.25114,Coimbatore,Tamil Nadu,11.00093937,76.98088756,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala+682003/11.00096555802061,+76.98086977857493/@10.4669405,75.9538243,9z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.9808698!2d11.0009656!3e0?entry=ttu",192,,
RUBBER MATS,T.J.P. RUBBER INDUSTRIES,3.41077,Poovanthuruthu,Kerala,9.553814174,76.5275189,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala+682003/9.553814174365014,+76.52751889574435/@9.5576575,76.5222132,15.69z/data=!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.5275189!2d9.5538142!3e0?entry=ttu",67.8,,
COTTON GOODS,T.S.K.GARMENTS,1.02205,Tiruppur,Tamil Nadu,11.11637925,77.3272059,"https://www.google.com/maps/dir/9.95462879292916,+76.26782130245705/11.116419070744643,+77.32727456530148/@10.5561497,76.1344339,9z/data=!3m1!4b1!4m10!4m9!1m3!2m2!1d76.2678213!2d9.9546288!1m3!2m2!1d77.3272746!2d11.1164191!3e0?entry=ttu",240,,
COIR MATS,TAJ COIR MILLS,14.24013,Alapuzha,Kerala,9.527561733,76.33570008,"https://www.google.com/maps/dir/9.95462879292916,+76.26782130245705/9.527165545961692,+76.3352841421341/@9.5296176,76.3312838,15.69z/data=!4m10!4m9!1m3!2m2!1d76.2678213!2d9.9546288!1m3!2m2!1d76.3352841!2d9.5271655!3e0?entry=ttu",51.6,,
RICE,TALAL AGRO MANUFACTURES,3.52485,Mampad ,Kerala,11.25832229,76.20247305,"https://www.google.com/maps/dir/9.95462879292916,+76.26782130245705/11.258319576403025,+76.20247009499147/@10.5939712,75.5390582,9z/data=!3m1!4b1!4m10!4m9!1m3!2m2!1d76.2678213!2d9.9546288!1m3!2m2!1d76.2024701!2d11.2583196!3e0?entry=ttu",189,,
PAPER,TAMILNADU NEWSPRINT & PAPERS LTD.,180.55354,Chennai,Tamil Nadu,13.01129386,80.2187314,"https://www.google.com/maps/dir/9.95462879292916,+76.26782130245705/13.011293864748177,+80.2187314047601/@11.4700519,76.9169917,8z/data=!3m1!4b1!4m14!4m13!1m5!1m1!1s0x0:0x20a1238b88466b16!2m2!1d76.2678213!2d9.9546288!1m5!1m1!1s0x0:0x76f4dd11f9215994!2m2!1d80.2187314!2d13.0112939!3e0?entry=ttu",678,,
CASHEW KERNELS,TASTY NUT INDUSTRIES,8.49364,"Mangad,Kollam",Kerala,8.908494111,76.62068411,"https://www.google.com/maps/dir/9.95462879292916,+76.26782130245705/8.908531369636913,+76.62061896827478/@9.3620691,76.0314593,9.42z/data=!4m12!4m11!1m5!1m1!1s0x0:0x20a1238b88466b16!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.620619!2d8.9085314!3e0?entry=ttu",139,,
URAD DAL,TATA CONSUMER PRODUCTS LTD.,72.07845,Kanaan Devan Hills,Kerala,10.12905378,77.20948109,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/10.129053783059637,+77.20948108786314/@10.0359298,76.4084033,10z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.2094811!2d10.1290538!3e0?entry=ttu",155,,
TAPIOCA,TATEZ FOODS P.LTD.,1.96774,Kadayirupu,Kerala,9.986653405,76.46389682,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/9.986653404840363,+76.46389682141027/@9.9736127,76.2837582,12z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.4638968!2d9.9866534!3e0?entry=ttu",28.5,,
CHINA TABLEWARES,TCL CERAMICS LTD,9.19363,SEZ Cochin,Kerala,10.00455249,76.34357476,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/10.004628951779074,+76.34369474563849/@9.9674914,76.2717954,13z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.3436947!2d10.004629!3e0?entry=ttu",18.8,,
TEA,TEAM UNITED MARKETING P.LTD.,6.3854,Kolkata,West Bengal,22.56861514,88.34913576,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/22.56861513911688,+88.34913575980848/@16.2129236,76.9956104,6z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d88.3491358!2d22.5686151!3e0?entry=ttu",2302,,
CURLED COIR,TECHNO EXPORTS,15.53437,Cherthala,Kerala,9.728680413,76.31557925,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/9.7286750288182,+76.31556676626185/@9.8394537,76.2108186,12z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.3155668!2d9.728675!3e0?entry=ttu",28.9,,
SPORTS ARTICLES,TECHNO SPORTSWEAR P.LTD.,2.34489,Tiruppur,Tamil Nadu,11.10932812,77.39028199,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/11.109328124780818,+77.39028198519529/@10.5196541,76.1645706,9z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.390282!2d11.1093281!3e0?entry=ttu",242,,
RUBBER PRODUCTS,TECHNOFLEX RUBBER PRODUCTS,6.26531,Airapuram,Kerala,10.04228944,76.49145424,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/10.042234017199144,+76.49147901319718/@9.9868476,76.2971222,12z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.491479!2d10.042234!3e0?entry=ttu",35.4,,
COTTON GOODS,TEEMWORK CREATIONS,1.93949,Tiruppur,Tamil Nadu,11.09987861,77.29696321,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/11.099890888988767,+77.29694930969897/@10.5667814,77.6598887,9z/data=!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.2969493!2d11.0998909!3e0?entry=ttu",228,,
BLOOD BAG,TERUMO PENPOL LTD.,23.04396,"Cotton Hill Rd,Trivandrum",Kerala,8.501594442,76.9606355,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/8.50159444208051,+76.96063550388106/@9.2290123,75.9543656,9z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.9606355!2d8.5015944!3e0?entry=ttu",211,,
SPICES,THEKKADY AGRO PRODUCTS,2.03092,Chakkupallam,Kerala,9.648330538,77.16668366,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/9.648330538238397,+77.16668365593353/@9.7983854,76.3868945,10z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.1666837!2d9.6483305!3e0?entry=ttu",143,,
COTTON YARN,THIAGARAJAR MILLS LTD.,5.0722,"Dharmathupatti,Kappalur",Tamil Nadu,9.852185327,78.01761057,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/9.852185326724642,+78.01761056887788/@10.0110992,76.5026277,9z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d78.0176106!2d9.8521853!3e0?entry=ttu",265,,
COTTON GOODS,THIRUMURUGAN TEX,1.95669,Tiruppur,Tamil Nadu,11.04631189,77.33586097,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/11.046325534076756,+77.33593465840748/@10.4944365,76.1360804,9z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.3359347!2d11.0463255!3e0?entry=ttu",232,,
FROZEN YELLOW TUNA,THREE STAR MARINE EXPORTS,21.11904,"Chandiroor,Kochi",Kerala,9.836893075,76.30412892,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/9.837058901992783,+76.30423868306492/@9.8946499,76.2517541,13z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.3042387!2d9.8370589!3e0?entry=ttu",16.6,,
TYRES/TUBES,TOLINS TYRES P.LTD.,4.80905,Kalady,Kerala,10.17899544,76.4182039,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/10.178995441245474,+76.41820389862558/@10.0590935,76.1980627,11z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.4182039!2d10.1789954!3e0?entry=ttu",44.3,,
P.P.WOVEN BAGS,TOPSACK PACKAGING,6.18636,Bengaluru,Karnataka,13.24479217,77.27743984,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/13.244792165865425,+77.27743984356319/@11.5867225,75.8729136,8z/data=!4m13!4m12!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.2774398!2d13.2447922!3e0!5i1?entry=ttu",533,,
COTTON GOODS,TORAM EXPORTS P. LTD.,1.12181,Tiruppur,Tamil Nadu,11.1273382,77.32559073,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/11.1273382044406,+77.32559073275533/@10.5561497,76.1310616,9z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.3255907!2d11.1273382!3e0?entry=ttu",239,,
FROZEN SQUID,TORRY HARRIS SEAFOODS LTD.,9.24211,Cherthala,Kerala,9.832152084,76.31137413,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/9.832152084433101,+76.31137413205512/@9.8892991,76.2104662,12z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.3113741!2d9.8321521!3e0?entry=ttu",16.1,,
SPARES,TRADESMAN TRADING LINE,2.24921,Bengaluru,Karnataka,12.90726755,77.62698637,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/12.90726754651123,+77.62698637486201/@11.4195317,75.9198373,8z/data=!4m13!4m12!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.6269864!2d12.9072675!3e0!5i1?entry=ttu",525,,
BUILDING MATERIALS,TRANS EMIRATES FIBRE CONCRETE INDUSTRIES,3.5393,Aluva,Kerala,10.12972035,76.34752963,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/10.129720348308439,+76.34752962650296/@10.0294708,76.2272293,12z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.3475296!2d10.1297203!3e0?entry=ttu",32.6,,
BUILDING MATERIALS,TRANS FIBRE CONCRETE INDUSTRIES,2.16438,Perumbavoor,Kerala,10.08552651,76.41870826,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/10.085526510425582,+76.41870826259816/@10.0074784,76.260692,12z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.4187083!2d10.0855265!3e0?entry=ttu",34.2,,
RUBBER MATS,TRAVANCORE COCOTUFT P.LTD.,73.90829,"Mayithara,Chertala south",Kerala,9.640484567,76.33323917,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/9.64048993824802,+76.33328094109555/@9.7347248,76.2185759,11.78z/data=!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.3332809!2d9.6404899!3e0?entry=ttu",38.4,,
JUTE MATTING,TRAVANCORE MATS & MATTING CO.,47.90506,Cherthala,Kerala,9.69565221,76.32589858,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/9.695632517332168,+76.32587315347168/@9.8254565,76.1316832,11z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.3258732!2d9.6956325!3e0?entry=ttu",31.6,,
ACTIVATED CARBON,TRBEX IMPEX P.LTD.,2.1822,Ludhiana,Punjab,30.85548952,75.92127085,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/30.855638124746868,+75.9217036031811/@18.0603884,62.3925796,4.74z/data=!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d75.9217036!2d30.8556381!3e0?entry=ttu",2897,,
JUTE RUGS,TRIANGLE WEAVERS P.LTD.,12.28673,Muhamma,Kerala,9.606978894,76.35401056,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/9.606910255020546,+76.35367988746951/@9.781179,76.1347288,11z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.3536799!2d9.6069103!3e0?entry=ttu",44,,
COTTON GOODS,TRIBHUVAN APPARELS PVT LTD,1.73125,Avinashi,Tamil Nadu,11.18436068,77.28848109,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/11.184360677876738,+77.28848109017513/@10.5569539,76.1130086,9z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.2884811!2d11.1843607!3e0?entry=ttu",230,,
COTTON GOODS,TRIC GLOBAL TRADES,1.30972,Avinashi,Tamil Nadu,11.17957032,77.29975048,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/11.17957031718193,+77.2997504816834/@10.5561497,76.1178364,9z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.2997505!2d11.1795703!3e0?entry=ttu",232,,
TEA,TRINITY TRADING,2.74069,"Kaloor,Ernakulam",Kerala,9.996236047,76.28892846,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/9.996236047189003,+76.28892845543186/@9.9663972,76.2632141,14z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.2889285!2d9.996236!3e0?entry=ttu",11,,
COIR MATS,TUFCKO INTERNATI0NAL,21.31882,Anakkal,Kerala,9.57262891,76.79205801,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/9.572628909778684,+76.79205800538135/@9.763165,76.3647705,11z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.792058!2d9.5726289!3e0?entry=ttu",90.4,,
TEA,TULIP NILGIRIS EXPORT PVT LTD,1.33487,Kovilpalayam,Tamil Nadu,11.14351441,77.03244295,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/11.143514406467494,+77.03244295134189/@10.5366633,76.0116242,9z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.032443!2d11.1435144!3e0?entry=ttu",220,,
FROZEN YELLOW TUNA,U & CO MARINE EXPORTS,9.5405,North Paravur ,Kerala,10.11665182,76.22415304,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/10.116651815209684,+76.22415304414942/@10.0362349,76.1738215,12z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.224153!2d10.1166518!3e0?entry=ttu",33.4,,
PLYWOOD,UDAYA SAW MILLS,1.015,Mudickal,Kerala,10.11617989,76.44764097,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/10.116179889985967,+76.44764096943362/@10.0248081,76.2834196,12z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.447641!2d10.1161799!3e0?entry=ttu",39.3,,
FISH MEAL,ULLAL FISH MEAL AND OIL COMPANY,4.004,"Ullal Industrial town,Mangaluru",Karnataka,12.83318433,74.83426157,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/12.833184325199998,+74.83426157241604/@11.3997493,74.2412438,8z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d74.8342616!2d12.8331843!3e0?entry=ttu",493,,
MOP,UNICLEAN HYGIENE SOLUTIONS,1.24131,Perintalmanna,Tamil Nadu,10.97450992,76.2338883,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/10.974509923785082,+76.23388830332205/@10.4528458,75.61443,9z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.2338883!2d10.9745099!3e0?entry=ttu",152,,
PLYWOOD,UNILOG TRANSPORTING COMPANY,12.09269,"Palrivattom,Ernakulam",Kerala,10.00295757,76.30800598,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/10.00295757497335,+76.30800598365131/@9.9666965,76.2518473,13z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.308006!2d10.0029576!3e0?entry=ttu",16,,
INVERTOR,UNIPOWER TRANSFORMERS,48.39174,Valayanchirangara,Kerala,10.06224551,76.49134797,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/10.062245507627374,+76.49134797386372/@10.023618,76.3877225,12.73z/data=!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.491348!2d10.0622455!3e0?entry=ttu",37.8,,
VALVES,UNIQUE SHELL MOULD (I)P.LTD.,2.18199,Coimbatore,Tamil Nadu,10.94385305,76.97738039,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/10.943853045756681,+76.97738038803553/@10.4370639,75.9368609,9z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.9773804!2d10.943853!3e0?entry=ttu",185,,
FROZEN SQUID,UNIROYAL MARINE EXPORTS LTD.,5.17656,Chemancheri,Kerala,11.37383344,75.7399936,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/11.373796626973778,+75.7399667730156/@10.6517644,75.4022379,9z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d75.7399668!2d11.3737966!3e0?entry=ttu",198,,
COTTON GOODS,UNISOURCE TREND INDIA,3.77272,Tiruppur,Tamil Nadu,11.09252513,77.33621457,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/11.092501440806712,+77.33614751536045/@10.516266,76.1361053,9z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.3361475!2d11.0925014!3e0?entry=ttu",233,,
JUTE RUGS,UNITED COIR FACTORIES,43.82075,Alappuzha,Kerala,9.513621852,76.32795169,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/9.513621851885553,+76.3279516870515/@9.7345139,76.1279498,11z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.3279517!2d9.5136219!3e0?entry=ttu",52.3,,
